numbers_id,release_date,production_budget,domestic_gross_revenue,worldwide_gross_revenue,year,imdb_id,production_budget_infAdj,domestic_gross_revenue_infAdj,worldwide_gross_revenue_infAdj,profit,profit_infAdj,roi,kim_id,mpaa,sex,violence,language,type,metacritic_rating,tmdb_rating,rt_rating,fa_rating,genres,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,genre_\N,genre__NULL
16.0,2017-12-13,262000000.0,620181382.0,1331635141.0,2017,tt2527336,319474961.22183275,756230622.0036361,1623756049.7427664,1069635141.0,1304281088.5209336,4.0825768740458015,4700.0,PG,1.0,3.0,1.0,Movie,84.0,6.9,91.0,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,2017-12-13,262000000.0,620181382.0,1331635141.0,2017,tt2527336,319474961.22183275,756230622.0036361,1623756049.7427664,1069635141.0,1304281088.5209336,4.0825768740458015,4720.0,PG-13,1.0,6.0,3.0,Movie,84.0,6.9,91.0,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781.0,2017-11-15,20000000.0,40847995.0,62634998.0,2017,tt2527336,24387401.619987234,49808822.971811526,76375242.58465485,42634998.0,51987840.96466762,2.1317499,4700.0,PG,1.0,3.0,1.0,Movie,84.0,6.9,91.0,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781.0,2017-11-15,20000000.0,40847995.0,62634998.0,2017,tt2527336,24387401.619987234,49808822.971811526,76375242.58465485,42634998.0,51987840.96466762,2.1317499,4720.0,PG-13,1.0,6.0,3.0,Movie,84.0,6.9,91.0,6.1,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,2019-07-11,260000000.0,543638043.0,1647733638.0,2019,tt6105098,303000579.725688,633548623.8074557,1920247105.951988,1387733638.0,1617246526.2263,5.337437069230769,2749.0,R,4.0,7.0,5.0,Movie,55.0,7.1,52.0,6.4,"Adventure,Animation,Drama",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,2019-07-11,260000000.0,543638043.0,1647733638.0,2019,tt6105098,303000579.725688,633548623.8074557,1920247105.951988,1387733638.0,1617246526.2263,5.337437069230769,2953.0,PG,1.0,3.0,1.0,Movie,55.0,7.1,52.0,6.4,"Adventure,Animation,Drama",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,2010-11-24,260000000.0,200821936.0,583777242.0,2010,tt0398286,354662931.87188435,273938833.0997997,796323646.9530867,323777242.0,441660715.0812024,1.2452970846153846,4884.0,PG,2.0,4.0,1.0,Movie,71.0,7.6,89.0,6.9,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,2007-05-04,258000000.0,336530303.0,894860230.0,2007,tt0413300,374511236.35755694,488505348.24927616,1298973686.4515803,636860230.0,924462450.0940233,2.468450503875969,4663.0,PG-13,2.0,6.0,3.0,Movie,59.0,6.4,63.0,5.4,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.0,2016-04-22,250000000.0,408084349.0,1151899586.0,2016,tt3498820,308683536.0049884,503875679.350455,1422289749.3166487,901899586.0,1113606213.3116603,3.607598344,793.0,PG-13,1.0,7.0,3.0,Movie,75.0,7.4,90.0,6.8,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21.0,2022-07-01,250000000.0,343256830.0,760928081.0,2022,tt10648342,270000000.0,370717376.40000004,821802327.48,510928081.0,551802327.48,2.043712324,4965.0,PG-13,4.0,6.0,4.0,Movie,57.0,6.6,63.0,5.3,"Action,Adventure,Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,2009-07-15,250000000.0,302089278.0,929411069.0,2009,tt0417741,339794370.4972554,410592944.2079215,1263234596.4961448,679411069.0,923440225.9988894,2.717644276,2138.0,PG,4.0,6.0,3.0,Movie,78.0,7.7,84.0,6.4,"Action,Adventure,Family",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,2013-12-12,250000000.0,258241522.0,959358436.0,2013,tt1170358,318645915.54237056,329150424.8349809,1222782588.6900668,709358436.0,904136673.1476963,2.837433744,2239.0,PG-13,1.0,7.0,1.0,Movie,66.0,7.6,74.0,6.7,Fantasy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,2014-12-10,250000000.0,255119788.0,940323039.0,2014,tt2310332,314060630.33941513,320492325.7253518,1181273785.4040577,690323039.0,867213155.0646427,2.761292156,2238.0,PG-13,1.0,6.0,2.0,Movie,59.0,7.3,59.0,6.3,"Adventure,Fantasy",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
