"numbers_id","release_date","production_budget","domestic_gross_revenue","worldwide_gross_revenue","year","imdb_id","production_budget_infAdj","domestic_gross_revenue_infAdj","worldwide_gross_revenue_infAdj","profit","profit_infAdj","roi","kim_id","mpaa","sex","violence","language","type","metacritic_rating","tmdb_rating","rt_rating","fa_rating","genres","genre_Action","genre_Adult","genre_Adventure","genre_Animation","genre_Biography","genre_Comedy","genre_Crime","genre_Documentary","genre_Drama","genre_Family","genre_Fantasy","genre_Film.Noir","genre_History","genre_Horror","genre_Music","genre_Musical","genre_Mystery","genre_News","genre_Romance","genre_Sci.Fi","genre_Sport","genre_Thriller","genre_War","genre_Western","genre_.N","genre__NULL","metacritic_rating_Zscore","tmdb_rating_Zscore","rt_rating_Zscore","fa_rating_Zscore","mean_Zscore","metacritic_rating_Norm","tmdb_rating_Norm","rt_rating_Norm","fa_rating_Norm","mean_Norm_score","tmdb_rating_x10","fa_rating_x10","years_since_first","release_season"
13,"2018-05-23",2.75e+08,213767512,393151347,2018,"tt3778644",328301128.132783,255200419.446321,469352839.080084,118151347,141051710.947301,0.429641261818182,4597,"PG-13",2,6,3,"Movie",62,6.6,69,6,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.440805713337114,0.232929342259049,0.571086290058543,0.48845019535753,0.433317885253059,67.0323171499072,59.2091863397114,55.7537012113055,68.7384502489278,62.683413737463,66,60,81,"summer"
14,"2012-03-07",263700000,73058679,282778100,2012,"tt0401729",343065141.346574,95046970.1847895,367885130.24731,19078100,24819988.900736,0.0723477436480849,2640,"PG-13",2,6,4,"Movie",51,6.3,52,5.4,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.192293594047429,-0.129862644081514,-0.0484340643552596,-0.0729842820897918,-0.110893646143498,42.3756117987949,44.8337549829209,40.8226783310902,47.0909312613008,43.7807440935267,63,54,75,"early_year"
15,"2016-03-23",2.63e+08,330360194,872395091,2016,"tt2975590",324735079.877248,407907011.356856,1077176005.93309,609395091,752440926.055847,2.31709160076046,389,"PG-13",3,6,3,"Movie",44,5.9,29,5.5,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.595174971473956,-0.613585292535597,-0.886608661503345,0.0205881308180949,-0.518695198673701,27.5863259290629,26.9744702406015,20.9118438761777,50.8212895652114,31.5734824027634,59,55,79,"early_year"
18,"2010-11-24",2.6e+08,200821936,583777242,2010,"tt0398286",354662931.871884,273938833.0998,796323646.953087,323777242,441660715.081202,1.24529708461538,4884,"PG",2,4,1,"Movie",71,7.6,89,6.9,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958796055742649,1.44223596339426,1.29993376583949,1.33060191152851,1.25789192412623,83.1169251697719,92.5382090844582,75.5804172274563,90.833998339783,85.5173874553673,76,69,73,"holiday"
19,"2007-05-04",2.58e+08,336530303,894860230,2007,"tt0413300",374511236.357557,488505348.249276,1298973686.45158,636860230,924462450.094023,2.46845050387597,4663,"PG-13",2,6,3,"Movie",59,6.4,63,5.4,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.268142265868602,-0.00893198196799186,0.35243204732426,-0.0729842820897918,0.13466451228377,60.5705093406584,49.6436702125411,49.8738223418573,47.0909312613008,51.7947332890894,64,54,70,"summer"
20,"2016-04-22",2.5e+08,408084349,1151899586,2016,"tt3498820",308683536.004988,503875679.350455,1422289749.31665,901899586,1113606213.31166,3.607598344,793,"PG-13",1,7,3,"Movie",75,7.4,90,6.8,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.18901398570066,1.20037463916722,1.33637613962853,1.23702949862063,1.24069856577926,88.278291825997,88.5003063128033,76.6403095558546,89.1961934288237,85.6537752808697,74,68,79,"summer"
21,"2022-07-01",2.5e+08,343256830,760928081,2022,"tt10648342",2.7e+08,370717376.4,821802327.48,510928081,551802327.48,2.043712324,4965,"PG-13",4,6,4,"Movie",57,6.6,63,5.3,"Action,Adventure,Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153033300889595,0.232929342259049,0.35243204732426,-0.166556694997679,0.142959498868806,56.0813992864804,59.2091863397114,49.8738223418573,43.3859435007751,52.1375878672061,66,53,85,"summer"
22,"2009-07-15",2.5e+08,302089278,929411069,2009,"tt0417741",339794370.497255,410592944.207922,1263234596.49614,679411069,923440225.998889,2.717644276,2138,"PG",4,6,3,"Movie",78,7.7,84,6.4,"Action,Adventure,Family",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36167743316918,1.56316662550778,1.11772189689425,0.862739846989079,1.22632645064007,91.3350146927448,94.0993296043609,70.1884253028264,80.585974065783,84.0521859164288,77,64,72,"summer"
23,"2013-12-12",2.5e+08,258241522,959358436,2013,"tt1170358",318645915.542371,329150424.834981,1222782588.69007,709358436,904136673.147696,2.837433744,2239,"PG-13",1,7,1,"Movie",66,7.6,74,6.7,"Fantasy",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67102364329513,1.44223596339426,0.753298159003779,1.14345708571274,1.00250371285148,74.8897266122274,92.5382090844582,60.3045087483176,87.3575568694503,78.7725003286134,76,67,76,"holiday"
24,"2014-12-10",2.5e+08,255119788,940323039,2014,"tt2310332",314060630.339415,320492325.725352,1181273785.40406,690323039,867213155.064643,2.761292156,2238,"PG-13",1,6,2,"Movie",59,7.3,59,6.3,"Adventure,Fantasy",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268142265868602,1.0794439770537,0.206662552168071,0.769167434081191,0.58085405729289,60.5705093406584,85.9805072284408,46.6773216689098,77.910303983235,67.784660555311,73,63,77,"holiday"
25,"2017-04-07",2.5e+08,225764765,1236703796,2017,"tt4630562",304842520.24984,275290799.784852,1507999607.90074,986703796,1203157087.6509,3.946815184,1625,"PG-13",4,6,5,"Movie",56,6.9,67,5.5,"Action,Crime,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0954788184000907,0.595721328599613,0.498201542480448,0.0205881308180949,0.302497455074562,53.8032743071495,72.4319296357409,53.8694481830417,50.8212895652114,57.7314854227859,69,55,80,"early_year"
26,"2021-09-29",2.5e+08,160891007,759959662,2021,"tt2382320",282690000,181929115.07532,859331987.40312,509959662,576641987.40312,2.039838648,3614,"PG-13",4,7,5,"Movie",68,7.4,83,6.2,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.786132608274138,1.20037463916722,1.0812795231052,0.675595021173304,0.935845447929966,78.4105098768521,88.5003063128033,69.1705921938089,75.0351098264455,77.7791295524774,74,62,84,"fall"
27,"2009-12-17",2.37e+08,785221649,2923706026,2009,"tt0499549",322125063.231398,1067255583.69109,3973835394.49481,2686706026,3651710331.26341,11.3363123459916,301,"PG-13",5,7,4,"Movie",83,7.6,82,7.2,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6494498456167,1.44223596339426,1.04483714931616,1.61131915025217,1.43696052714482,95.0472244929137,92.5382090844582,68.1022880215343,94.6444910548426,87.5830531634372,76,72,72,"holiday"
28,"2006-06-28",2.32e+08,200120000,391081192,2006,"tt0348150",347647458.277993,299875902.373241,586027510.254861,159081192,238380051.976868,0.685694793103448,4819,"PG-13",3,6,2,"Movie",72,5.7,74,5.1,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.01635053823215,-0.855446616762639,0.753298159003779,-0.353701520813454,0.14012513991496,84.5268754848353,19.6151972843896,60.3045087483176,36.1781291371701,50.1561776636782,57,51,69,"summer"
29,"2012-07-19",2.3e+08,448139099,1082228107,2012,"tt1345836",299222535.11457,583014422.985822,1407943642.38601,852228107,1108721107.27144,3.70533959565217,1148,"PG-13",2,7,3,"Movie",78,7.8,87,7.5,"Action,Drama,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.36167743316918,1.6840972876213,1.22704901826139,1.89203638897584,1.54121503200693,91.3350146927448,95.3918565759303,73.3849259757739,97.0756933698857,89.2968726535837,78,75,75,"summer"
